	id	dif_number	dif_level	correlation	means_len	fk_mean	often_w	often_n	often_aw	often_an	slang
596	3648	4.9	medium	0.8687	205.93	69.683	0.70434	0.78378	0.44118	0.41026	0.00788
892	2859	3.7	medium	0.8933	190.29	70.8337	0.68136	0.76131	0.43662	0.41026	0.01734
360	4199	3.6	medium	0.8324	231.72	72.67	0.70776	0.82732	0.41935	0.39474	0.00554
469	3919	4.7	medium	0.9524	196.1	67.9211	0.70741	0.79455	0.51807	0.47115	0.01196
152	4507	4.0	medium	0.8527	198.57	60.4151	0.73425	0.84868	0.36986	0.31373	0.01448
307	4350	4.5	medium	0.8415	253.62	62.5031	0.69474	0.84135	0.44828	0.44737	0.01296
91	4335	3.9	medium	0.8581	191.69	65.5847	0.72367	0.83929	0.48485	0.5	0.00253
507	3791	3.8	medium	0.9466	215.9	66.1378	0.71265	0.79782	0.46667	0.40659	0.00735
333	4228	4.0	medium	0.8549	203.56	64.922	0.69905	0.78463	0.5	0.4902	0.00842
180	4423	4.5	medium	0.9297	212.52	66.7768	0.70129	0.78611	0.5035	0.45455	0.00893
53	5033	4.3	medium	0.7294	226.19	71.0422	0.69777	0.83529	0.37313	0.375	0.00473
732	3288	4.2	medium	0.8833	228.49	64.212	0.69214	0.79447	0.47368	0.42	0.00955
348	3932	3.8	medium	0.8246	183.03	65.0686	0.72954	0.77778	0.53226	0.52941	0.01512
223	4609	4.6	medium	0.8719	181.0	68.261	0.70584	0.79302	0.39437	0.34615	0.01068
830	3132	3.7	medium	0.8677	196.52	73.3774	0.68778	0.77975	0.44318	0.41026	0.00636
754	3117	4.3	medium	0.8784	180.77	70.9922	0.69456	0.79293	0.4	0.43478	0.00358
492	3744	3.7	medium	0.8299	192.58	68.7066	0.72853	0.80149	0.6	0.56098	0.00946
569	3758	4.2	medium	0.7956	182.15	67.443	0.68506	0.80383	0.37143	0.23256	0.00336
425	3927	5.0	medium	0.8351	235.12	67.3949	0.71699	0.82036	0.34667	0.35417	0.01722
379	3720	4.5	medium	0.8776	185.62	66.2471	0.6934	0.81356	0.41538	0.36364	0.02256
508	3773	4.6	medium	0.8183	193.44	74.641	0.67229	0.78095	0.53968	0.475	0.00888
285	4348	4.4	medium	0.8542	206.93	68.2782	0.71151	0.80519	0.5	0.4507	0.01279
715	3408	3.6	medium	0.8209	201.41	63.8569	0.70433	0.7781	0.48333	0.40541	0.01105
541	3798	3.8	medium	0.9331	219.0	69.4844	0.69607	0.79576	0.37879	0.29787	0.00797
255	4414	3.8	medium	0.8486	233.78	62.8924	0.67902	0.77975	0.40741	0.38462	0.01049
738	2962	4.9	medium	0.8295	217.38	62.5129	0.70286	0.78736	0.47222	0.46939	0.00955
133	4375	4.4	medium	0.8709	155.08	73.9177	0.68672	0.78778	0.37705	0.275	0.01146
498	3922	4.1	medium	0.8735	185.3	69.8816	0.67107	0.75817	0.49153	0.61111	0.00754
661	3528	3.6	medium	0.8709	187.23	64.0726	0.69651	0.79167	0.52727	0.53659	0.00985
190	4454	4.2	medium	0.8999	192.36	67.7892	0.70987	0.81579	0.49342	0.4717	0.01203
174	4461	4.9	medium	0.9076	252.29	66.7986	0.70249	0.79064	0.4812	0.40476	0.00033
250	4260	3.7	medium	0.8349	196.49	60.3358	0.70118	0.77725	0.45312	0.45238	0.01553
839	3054	4.3	medium	0.8702	192.57	66.8186	0.70596	0.79775	0.55	0.55102	0.00474
538	3813	4.6	medium	0.8079999999999999	168.2	73.4529	0.69605	0.80396	0.51724	0.48077	0.02139
528	3839	4.1	medium	0.9183	195.52	64.9023	0.71237	0.81369	0.50714	0.54651	0.0134
350	4187	3.6	medium	0.8729	210.91	61.7745	0.68313	0.7493	0.40351	0.4186	0.0
171	4575	4.1	medium	0.7245	185.09	64.0168	0.71764	0.81056	0.45614	0.44737	0.0122
326	3935	3.6	medium	0.8501	183.58	66.4787	0.70156	0.77855	0.60526	0.5102	0.01909
558	3905	4.8	medium	0.3061	206.12	73.7657	0.67102	0.70648	0.40385	0.375	0.0
591	3379	3.9	medium	0.8932	190.48	70.667	0.72539	0.78756	0.48193	0.40426	0.00201
64	4915	3.6	medium	0.7594	225.97	65.2614	0.72314	0.80998	0.5614	0.52632	0.00649
527	3715	4.4	medium	0.8502	174.59	67.476	0.71618	0.86181	0.45902	0.5	0.00294
396	4033	2.4	easy	0.8959	189.26	64.378	0.72074	0.79154	0.66129	0.72222	0.00798
798	3152	3.4	easy	0.7747	210.86	62.5106	0.71809	0.7913	0.61333	0.55319	0.0
117	4741	3.3	easy	0.4557	201.54	68.7223	0.71002	0.76923	0.40741	0.46341	0.02372
312	4275	2.8	easy	0.8175	224.89	60.3908	0.69154	0.79353	0.43103	0.40476	0.00538
512	3837	3.0	easy	0.8083	219.57	80.0071	0.68516	0.79853	0.56061	0.55263	0.01225
83	4470	1.9	easy	0.7849	173.89	65.1094	0.72512	0.79868	0.62903	0.58974	0.0019
515	3721	3.3	easy	0.8641	192.22	71.1509	0.69737	0.77473	0.47368	0.45455	0.0074
145	4484	2.9	easy	0.8771	187.81	63.8758	0.68636	0.75371	0.53731	0.44444	0.00174
631	3327	2.4	easy	0.8847	183.62	68.0551	0.70137	0.81346	0.5	0.36842	0.01461
886	2858	2.8	easy	0.8869	173.56	74.0821	0.67028	0.80974	0.47561	0.47059	0.01952
653	3585	2.9	easy	0.8342	215.26	65.4977	0.72757	0.8034	0.51064	0.51613	0.00591
209	4412	2.4	easy	0.8778	207.74	67.3038	0.72148	0.78729	0.6	0.51351	0.00944
400	3981	2.2	easy	0.8758	214.83	73.8796	0.71522	0.83217	0.5625	0.65854	0.01159
509	3766	3.4	easy	0.8695	195.11	68.8797	0.68653	0.69713	0.44262	0.39474	0.00816
598	3395	2.6	easy	0.8636	186.75	61.8646	0.71125	0.81058	0.4	0.41176	0.00797
290	4126	2.4	easy	0.887	155.71	67.934	0.66702	0.74912	0.53125	0.52381	0.01264
458	3941	2.1	easy	0.8652	193.43	73.262	0.72766	0.81416	0.53448	0.51429	0.01277
31	5139	1.6	easy	0.9058	166.53	71.6496	0.71737	0.80255	0.63793	0.61765	0.00939
355	4356	2.3	easy	0.8543	188.82	64.7817	0.69376	0.77475	0.46269	0.40476	0.0
41	4923	3.0	easy	0.8322	175.42	67.9768	0.71168	0.81388	0.55357	0.47059	0.00365
342	4231	3.3	easy	0.9315	227.83	63.0253	0.71934	0.82202	0.44094	0.4	0.00783
834	2933	2.2	easy	0.9083	219.29	66.102	0.72962	0.78992	0.47436	0.48889	0.0
494	3750	2.8	easy	0.8640000000000001	192.94	70.6399	0.70546	0.7737	0.61667	0.52632	0.00241
33	4795	3.1	easy	0.8413	185.86	66.3939	0.70553	0.79942	0.42	0.35135	0.01295
126	4430	3.5	easy	0.8782	198.0	69.4081	0.71122	0.78947	0.46774	0.42857	0.00477
489	3918	3.5	easy	0.8951	200.61	65.972	0.68821	0.80638	0.50667	0.48	0.01199
460	3991	2.5	easy	0.7696	190.31	72.9513	0.66939	0.76738	0.62	0.57143	0.00245
440	3877	2.5	easy	0.8541	240.09	65.0422	0.73589	0.78322	0.44444	0.4	0.00488
765	2899	3.5	easy	0.9069	191.82	72.5475	0.67848	0.75414	0.4697	0.51111	0.01312
811	3176	3.4	easy	0.8466	186.2	71.2854	0.7076	0.79627	0.46203	0.42857	0.00631
282	4353	3.4	easy	0.7897	215.49	72.0287	0.70368	0.85037	0.56364	0.5	0.01618
637	3645	2.3	easy	0.9384	204.21	72.0112	0.72022	0.82578	0.56667	0.64151	0.01361
684	3474	3.1	easy	0.8712	191.87	65.3417	0.70396	0.77578	0.48684	0.46939	0.02046
450	3974	3.1	easy	0.8859	249.94	63.9733	0.68856	0.78288	0.56452	0.53659	0.00585
729	3336	3.3	easy	0.8464	181.83	58.9439	0.72552	0.79221	0.48571	0.43137	0.00642
898	2908	2.8	easy	0.7711	236.42	65.2766	0.70845	0.80034	0.48148	0.47727	0.01291
553	3838	3.2	easy	0.8101	192.91	67.6288	0.71328	0.80512	0.53333	0.5375	0.01231
649	3644	3.3	easy	0.9113	201.23	66.1671	0.67504	0.74349	0.56579	0.54217	0.00549
76	4815	3.0	easy	0.8663	192.91	66.131	0.69408	0.80734	0.51613	0.5	0.00972
679	3389	3.4	easy	0.9224	210.58	63.4071	0.73214	0.83354	0.39706	0.3908	0.01562
685	3456	2.3	easy	0.7709	188.36	72.3436	0.66557	0.72174	0.58824	0.55556	0.00741
211	4611	3.0	easy	0.9181	201.11	68.8728	0.69168	0.80323	0.5082	0.51351	0.00326
2	5093	3.5	easy	0.8119	202.15	68.8037	0.70721	0.81322	0.57353	0.58333	0.00782
709	3409	2.9	easy	0.9058	214.33	61.226	0.71475	0.80082	0.43056	0.48936	0.00979
845	3032	3.3	easy	0.9045	202.66	65.5986	0.71474	0.79143	0.5	0.4	0.00721
154	4349	2.5	easy	0.8481	234.53	61.9311	0.69659	0.7887	0.4918	0.48718	0.00139
296	4254	2.9	easy	0.8232	214.54	65.9591	0.69814	0.78205	0.5	0.51163	0.00774
228	4541	2.9	easy	0.9307	187.65	71.908	0.71532	0.85345	0.6338	0.5	0.00887
70	4883	3.0	easy	0.8306	172.17	64.4078	0.69429	0.76308	0.50794	0.5	0.00381
36	5081	3.2	easy	0.8379	216.31	67.8304	0.69631	0.74366	0.67164	0.62222	0.00151
506	3844	2.2	easy	0.8086	181.31	67.4178	0.70475	0.77259	0.56364	0.47222	0.00176
267	4153	3.2	easy	0.7356	246.31	72.2504	0.67598	0.79913	0.56364	0.48387	0.00635
560	3415	3.1	easy	0.8692	185.84	67.7226	0.713	0.76444	0.42169	0.40385	0.00899
114	4817	2.8	easy	0.8320000000000001	194.54	81.4412	0.70227	0.81058	0.53846	0.45455	0.01456
869	2930	3.3	easy	0.8964	213.77	66.7619	0.69599	0.74893	0.43662	0.34694	0.00517
334	4227	2.9	easy	0.857	191.81	72.1896	0.67645	0.77062	0.49254	0.45455	0.00793
817	3034	2.9	easy	0.8838	184.91	70.191	0.73436	0.83333	0.50909	0.48718	0.00943
573	3329	3.5	easy	0.8885	200.86	68.5142	0.70122	0.81793	0.50746	0.46341	0.00152
215	4331	3.2	easy	0.8844	190.42	66.3281	0.7126	0.80556	0.5303	0.55556	0.01014
766	3086	3.0	easy	0.8291	191.07	68.7482	0.71388	0.79838	0.52288	0.5	0.01547
59	4977	3.2	easy	0.8403	217.26	74.6126	0.70734	0.83554	0.35185	0.32258	0.00973
900	2829	3.1	easy	0.8505	193.64	73.1574	0.67581	0.81628	0.51351	0.5122	0.00957
585	3695	2.8	easy	0.8793	223.62	62.5205	0.70243	0.79675	0.35714	0.37143	0.01253
354	4109	3.0	easy	0.8998	206.33	68.2741	0.69929	0.81284	0.42149	0.42857	0.00475
568	3698	2.9	easy	0.7609	214.97	68.5672	0.72332	0.81818	0.50704	0.53333	0.00991
398	3946	2.2	easy	0.8249	196.88	69.8628	0.7192	0.77337	0.5	0.48718	0.00251
397	3928	3.2	easy	0.8846	187.85	66.2085	0.72591	0.82759	0.47945	0.36364	0.00523
718	3582	2.8	easy	0.7334	204.03	70.4128	0.65814	0.76945	0.42553	0.5	0.01005
461	4002	2.3	easy	0.8057	180.39	75.0639	0.66807	0.77933	0.44	0.55882	0.00252
357	4196	1.6	easy	0.8518	188.52	79.2818	0.69813	0.82051	0.56923	0.47368	0.01425
26	5138	6.3	hard	0.8856	188.53	73.153	0.70302	0.80238	0.50633	0.48148	0.00823
210	4418	5.5	hard	0.8584	184.54	66.5967	0.70451	0.79109	0.54412	0.55102	0.01771
332	3896	5.1	hard	0.8111	203.72	65.7669	0.69887	0.77926	0.39623	0.39474	0.0
54	5037	7.7	hard	0.705	233.62	70.9921	0.68755	0.75765	0.52941	0.48889	0.00773
594	3592	7.7	hard	0.6818	205.19	68.9274	0.69503	0.78404	0.50179	0.47799	0.0065
402	4017	5.5	hard	0.8224	213.5	62.2921	0.69794	0.77273	0.48529	0.41667	0.00823
247	4341	6.2	hard	0.8359	213.11	61.0344	0.67123	0.74638	0.47458	0.5	0.01128
795	2986	5.3	hard	0.8595	210.82	63.2767	0.73299	0.83452	0.4359	0.3913	0.01097
451	4011	7.5	hard	0.7799	140.46	80.5743	0.63397	0.73663	0.375	0.35	0.01266
405	3904	5.6	hard	0.7909	212.91	66.0524	0.71435	0.80713	0.45872	0.31034	0.00332
546	3516	6.2	hard	0.7711	194.56	68.3375	0.70619	0.77366	0.31325	0.22642	0.00586
55	4784	5.4	hard	0.7861	194.87	69.113	0.66888	0.73264	0.39286	0.35135	0.0
689	3430	5.1	hard	0.9004	195.0	67.2623	0.70734	0.80195	0.46218	0.4026	0.01001
27	4790	5.2	hard	0.8584	161.0	74.4107	0.65886	0.74453	0.45455	0.52381	0.00305
891	2928	6.6	hard	0.6786	220.53	66.9165	0.70986	0.78208	0.42857	0.41026	0.0072
552	3825	5.7	hard	0.7952	210.7	67.4063	0.70848	0.81528	0.46154	0.39423	0.00441
248	4408	7.0	hard	0.7906	197.18	76.711	0.68495	0.79798	0.58	0.57143	0.00997
745	3272	5.2	hard	0.8972	193.09	67.1909	0.71859	0.77754	0.52632	0.48276	0.00851
600	3575	5.1	hard	0.7929999999999999	216.88	61.6331	0.71137	0.82134	0.37037	0.39474	0.00627
264	4388	5.3	hard	0.7275	225.47	68.8231	0.70892	0.79385	0.3625	0.34426	0.0102
887	2884	5.5	hard	0.8373	223.22	65.8066	0.71894	0.81541	0.44706	0.4717	0.00356
751	3099	5.6	hard	0.7751	196.55	70.2346	0.71182	0.80248	0.52973	0.5098	0.0061
602	3702	5.9	hard	0.8995	179.49	65.1242	0.69817	0.7607	0.45217	0.36986	0.0055
130	4532	5.5	hard	0.8338	229.87	64.9428	0.71556	0.80285	0.43836	0.38835	0.0101
353	4186	5.3	hard	0.8878	172.9	64.9006	0.70495	0.79809	0.47287	0.44578	0.00721
38	4548	7.0	hard	0.7836	199.97	80.1589	0.6727	0.86293	0.52941	0.46429	0.00603
485	3532	5.2	hard	0.8561	182.24	69.6381	0.6788	0.77448	0.4186	0.51282	0.00934
57	4852	5.5	hard	0.7618	194.22	71.034	0.67117	0.76866	0.55172	0.46	0.00427
62	4947	5.5	hard	0.8205	233.72	78.6834	0.661	0.8024	0.39062	0.3871	0.01519
108	4710	6.2	hard	0.8023	199.41	65.6734	0.72161	0.82778	0.44	0.45455	0.00512
212	4579	5.3	hard	0.8693	176.12	73.988	0.70162	0.81789	0.38596	0.40625	0.01525
40	5072	6.0	hard	0.6563	204.81	66.1367	0.69843	0.74931	0.47273	0.5	0.01102
595	3593	5.4	hard	0.3679	237.86	64.6863	0.69693	0.80101	0.49618	0.47205	0.00781
101	4604	5.5	hard	0.8192	227.52	68.764	0.65131	0.70702	0.46429	0.4359	0.00998
236	4425	7.3	hard	0.7303	201.68	73.0027	0.67699	0.77313	0.34247	0.30909	0.00442
463	3875	5.4	hard	0.8567	188.48	67.1242	0.69101	0.77119	0.41748	0.38356	0.01073
321	4029	6.9	hard	0.7797	124.03	75.3336	0.6777	0.77027	0.42308	0.375	0.00245
187	4566	5.3	hard	0.7342	176.39	70.5092	0.70897	0.80168	0.41667	0.36957	0.01354
306	4247	6.5	hard	0.8027	192.01	68.4939	0.68716	0.74029	0.52229	0.51	0.00618
69	4696	5.5	hard	0.8781	195.52	68.7677	0.71831	0.82353	0.49333	0.55263	0.01144
50	4954	5.4	hard	0.7882	196.55	65.1897	0.69363	0.76353	0.46721	0.50649	0.00862
490	3508	5.5	hard	0.8067	232.76	67.8816	0.71608	0.81019	0.52326	0.55814	0.00331
702	3432	5.5	hard	0.8453	180.1	66.5077	0.71236	0.78535	0.5	0.49107	0.00547
276	4212	5.2	hard	0.8585	195.54	69.6683	0.7266	0.86025	0.31746	0.27273	0.00246
504	3915	7.6	hard	0.7787	153.57	71.5257	0.67619	0.78777	0.30189	0.25	0.02116
305	4176	5.1	hard	0.775	204.23	59.109	0.70795	0.81892	0.24	0.23333	0.00167
257	4426	7.9	hard	0.6990000000000001	141.61	74.0981	0.63626	0.69787	0.56	0.53333	0.00351
380	4170	5.7	hard	0.8929	169.11	70.3031	0.7252	0.81606	0.36986	0.30612	0.00428
632	3618	5.4	hard	0.7964	174.88	67.296	0.70048	0.78177	0.46835	0.39216	0.00805
502	3942	5.4	hard	0.8754	238.42	68.5764	0.71977	0.84434	0.45312	0.4	0.01014
270	4236	5.6	hard	0.8003	241.87	60.6218	0.70846	0.81217	0.50704	0.45714	0.00549
112	4760	5.4	hard	0.9016	190.74	68.3008	0.68918	0.79305	0.60606	0.57471	0.00823
799	2901	6.9	hard	0.8054	194.82	70.8911	0.70077	0.78529	0.33333	0.29412	0.00515
612	3377	5.6	hard	0.8492	232.34	62.7983	0.69446	0.78323	0.41538	0.46512	0.0056
772	3172	6.2	hard	0.3358	223.05	66.211	0.707	0.79855	0.52381	0.46354	0.00537
42	4781	8.3	hard	0.7335	223.28	60.5042	0.71465	0.79155	0.51351	0.5	0.00767
418	3962	5.9	hard	0.7659	187.6	62.8033	0.70734	0.80994	0.39623	0.45714	0.00088
813	3115	6.0	hard	0.8548	238.95	64.2579	0.71405	0.79924	0.41176	0.38095	0.00601
323	4140	7.6	hard	0.8741	205.97	68.5	0.70811	0.82461	0.47557	0.47904	0.01006
81	4936	7.2	hard	0.7959999999999999	213.4	66.233	0.69601	0.78486	0.40132	0.35354	0.00583
153	4664	8.3	hard	0.72	171.18	72.611	0.70664	0.77926	0.36066	0.31707	0.0109
297	4213	5.7	hard	0.9255	199.56	64.9102	0.71674	0.80668	0.3913	0.27907	0.01001
589	3753	5.4	hard	0.8051	191.91	68.0787	0.68564	0.76204	0.40323	0.35714	0.01084
272	4238	5.3	hard	0.8859999999999999	193.49	69.0168	0.71127	0.78016	0.42742	0.49296	0.0073
139	4673	6.9	hard	0.8641	177.69	73.0856	0.6954	0.77751	0.54945	0.50794	0.00287
161	4693	7.5	hard	0.6573	157.08	73.7937	0.66797	0.73818	0.43478	0.34375	0.01465
47	5029	5.1	hard	0.7214	159.76	69.9272	0.7346	0.80793	0.45	0.36585	0.01991
279	4198	5.4	hard	0.8615	200.39	65.6271	0.72329	0.81418	0.4625	0.40385	0.0
260	4420	5.8	hard	0.8671	231.75	66.4238	0.68828	0.77427	0.41379	0.36585	0.01448
643	3529	5.7	hard	0.6849	205.89	62.1363	0.71326	0.80739	0.33333	0.22222	0.00715
